Actor1Code,Actor1Name,Actor1Type1Code,Actor1CountryCode,Actor2Code,Actor2Name,Actor2Type1Code,Actor2CountryCode,YearMin,YearMax,EventCode,consolidatedAvgTone,eventCount
MYSGOVBUS,MALAYSIA,GOV,MYS,MYSBUS,MALAYSIA,BUS,MYS,2015,2015,110,-0.09025640018525866,1
LUXGOVBUS,YVES MERSCH,GOV,LUX,EURGOVBUS,EUROPEAN,GOV,EUR,2012,2012,1124,0.20169737027668852,1
PHLGOVAGR,ARTHUR YAP,GOV,PHL,VNMBUS,VIETNAMESE,BUS,VNM,2008,2008,057,3.17622950819672,1
CANGOV,ONTARIO,GOV,CAN,CHNBUS,CHINESE,BUS,CHN,2012,2012,051,0.707496784826912,2
JPNGOVMED,JAPAN,GOV,JPN,JPNBUS,JAPAN,BUS,JPN,1994,2009,051,0.37506909381909415,2
IRQGOVBUS,IRAQI,GOV,IRQ,POLBUS,POLISH,BUS,POL,2004,2004,051,2.5641025641025634,1
UGAGOV,MUSEVENI,GOV,UGA,UGABUS,UGANDA,BUS,UGA,2011,2011,114,2.4869109947644,1
INDGOV,KARNATAKA,GOV,IND,USABUS,A US,BUS,USA,2015,2015,057,0.194174757281553,1
GBRGOVBUS,PHILIP HAMMOND,GOV,GBR,BRNGOVBUS,MOHAMED BOLKIAH,GOV,BRN,2015,2015,051,3.1825795644891133,1
SSDGOV,SOUTH SUDANESE,GOV,SSD,MWIBUS,MALAWI,BUS,MWI,2015,2015,057,0.7686084142394832,1
ETHGOV,ADDIS ABABA,GOV,ETH,ETHBUS,ETHIOPIAN,BUS,ETH,2015,2015,051,0.7122507122507132,1
IRNGOVBUS,MOHSEN NURBAKHSH,GOV,IRN,BHRGOVBUS,BAHRAIN,GOV,BHR,2002,2002,050,8.59375,1
SAUGOV,ABDULLAH,GOV,SAU,CHNBUS,CHINESE,BUS,CHN,2007,2007,057,0.33333333333333404,1
USAGOV,DISTRICT OF COLUMBIA,GOV,USA,USABUS,WASHINGTON,BUS,USA,2014,2014,055,0.21097046413502166,1
ITAGOV,ITALIAN,GOV,ITA,EURGOVBUS,EUROPEAN,GOV,EUR,2011,2011,111,0.736196319018404,1
RUSGOV,MIKHAIL FRADKOV,GOV,RUS,RUSGOVBUS,GERMAN GREF,GOV,RUS,2004,2004,112,0.4477611940298511,1
TURGOVBUSGOVMED,BINALI YILDIRIM,GOV,TUR,TURGOVBUS,BINALI YILDIRIM,GOV,TUR,2006,2006,111,0.9077388906683784,2
CYPGOVBUS,NICOS ROLANDIS,GOV,CYP,CYPBUS,CYPRUS,BUS,CYP,1999,1999,111,0.15649452269170555,1
MWIGOV,MALAWIAN,GOV,MWI,GBRBUS,BRITISH,BUS,GBR,2012,2012,057,0.9469696969696967,1
INDGOV,KOCHI,GOV,IND,INDBUS,KOCHI,BUS,IND,2015,2015,051,-0.504201680672268,1
VENGOV,VENEZUELAN,GOV,VEN,CHNBUS,CHINESE,BUS,CHN,2014,2015,057,1.0835584824946518,2
USAGOV,UNITED STATES,GOV,USA,MNCUSABUS,FORD MOTOR,MNC,USA,2015,2015,111,1.06194690265486,1
MMRGOVMIL,TIN HLA,GOV,MMR,MMRGOVBUS,KYAW WIN,GOV,MMR,2001,2001,110,0.7936507936507934,1
BWAGOV,DANIEL KWELAGOBE,GOV,BWA,BWAGOVBUS,JACOB NKATE,GOV,BWA,2004,2004,050,0.8266597778351843,1
AUSGOV,AUSTRALIAN,GOV,AUS,NZLGOVBUS,STEVEN JOYCE,GOV,NZL,2012,2012,051,1.0057471264367817,1
ESPGOV,JOSE MARIA AZNAR,GOV,ESP,ESPBUS,SPANISH,BUS,ESP,1999,1999,050,1.02489019033675,1
IRNGOV,IRAN,GOV,IRN,ARMGOVBUS,ARMEN MOVSISYAN,GOV,ARM,2007,2007,050,6.45161290322581,1
USAGOV,OBAMA,GOV,USA,CHEBUS,SWISS,BUS,CHE,2012,2012,112,0.4214075010535183,1
ECUGOV,ECUADOR,GOV,ECU,ECUGOVBUS,RICARDO PATINO,GOV,ECU,2014,2014,052,0.10435799727682267,1
KENGOV,UHURU KENYATTA,GOV,KEN,KENBUS,KENYA,BUS,KEN,2013,2013,112,1.572327044025155,1
UKRGOV,UKRAINIAN,GOV,UKR,RUSGOVBUS,IGOR YUSUFOV,GOV,RUS,2003,2003,057,1.7486338797814198,1
